No,カテゴリ,ペルソナ/ターゲット,ユースケース,プロンプトテンプレート,プロンプトサンプル①,プロンプトサンプル②,プロンプトサンプル③,プロンプトサンプル④,プロンプトサンプル⑤,備考,@dropdown,,@dropdown,,@dropdown,,
1,マーケティング資料作成,P: MKTマネージャーT: 中小EC企業,インフォグラフィック生成,# 指示書: プロ級インフォグラフィック生成【役割】世界的なデータビジュアライゼーション専門家【目的】[テーマ]に関する視覚的説得力の高い資料作成【デザイン仕様】・データ主題: [テーマ]・トーン&マナー: [色調]をベースとした配色・タイポグラフィ: [フォント指定] (幾何学的で可読性重視)・視覚要素: キー指標を矢印/アイコンで強調し、情報の階層構造を明確化【出力設定】・解像度: [解像度]・スタイル: ベクターフラットデザイン、余白の活用、ミニマリズム・テキスト: [フォント]で崩れなく配置,# 指示書: 売上成長の可視化【役割】データ専門デザイナー【目的】売上データの劇的な成長を直感的に伝達【デザイン仕様】・主題: 売上推移データ・配色: 青基調（信頼・誠実）・フォント: 源ノ角ゴシック・視覚要素: 月次成長率を右肩上がりの3D矢印で強調【出力】・解像度: 4K・スタイル: クリーンなベクターアート,# 指示書: Q4キャンペーン分析【役割】マーケティングストラテジスト【目的】Q4キャンペーンのROI効率を可視化【デザイン仕様】・主題: キャンペーンデータ・配色: 緑基調（成長・利益）・フォント: メイリオ・視覚要素: ROI指標を中心に据えた円グラフ構成【出力】・解像度: 300dpi・スタイル: モダンコーポレート,# 指示書: 顧客セグメント分布【役割】CRM分析官【目的】顧客属性の偏りを明確化【デザイン仕様】・主題: 顧客セグメントデータ・配色: 赤基調（情熱・注目）・フォント: ヒラギノ角ゴ・視覚要素: 属性分布を示す積上げ棒グラフ【出力】・解像度: 4K・スタイル: インパクト重視,# 指示書: 市場シェア比較【役割】市場調査アナリスト【目的】競合とのシェア差を強調【デザイン仕様】・主題: 市場シェアデータ・配色: 紫基調（高貴・品質）・フォント: 游ゴシック・視覚要素: 競合比較を示す多層線グラフ【出力】・解像度: 300dpi・スタイル: アナリティカル,# 指示書: 広告効果測定【役割】広告運用スペシャリスト【目的】CTR向上をアピール【デザイン仕様】・主題: 広告効果データ・配色: 橙基調（活発・行動）・フォント: 筑紫A丸ゴ・視覚要素: CTRを指差しアイコンで強調【出力】・解像度: 4K・スタイル: ポップ＆キャッチー,検索連携で事実準拠。A/Bテストで売上5%向上事例。,,データ専門デザイナー,,マーケティングストラテジスト,,,この論文をもとに、教授がホワイトボードに描いたような画像を生成して。言語は日本語。図、矢印、ボックス、そして主要なアイデアを視覚的に説明するキャプションを使用してください。色も使用してください
2,マーケティング資料作成,P: 広告担当者T: 広告代理店,バナー広告デザイン,# 指示書: 高CTRバナー広告生成【役割】受賞歴のあるアートディレクター【目的】[商品]の魅力を最大化しクリックを誘発【クリエイティブ詳細】・対象商品: [商品]・デザインスタイル: [スタイル]、視線誘導を意識・サイズ: [サイズ]・コピー: 「[テキスト]」を[位置]に配置、色は[色]・演出: [照明]によるドラマチックな演出、背景は[背景]【技術パラメータ】・解像度: [指定]・品質: フォトリアリスティック、広告写真品質,# 指示書: 新スマホ広告バナー【役割】テック製品専門デザイナー【目的】新スマホの革新性を訴求【クリエイティブ詳細】・商品: 最新スマートフォン・スタイル: モダン、未来的・サイズ: 1200x600px・コピー: 「革新の瞬間」を中央に金文字で・演出: 自然光が差し込む都市背景【出力】・解像度: 4K・品質: ハイエンドプロダクトフォト,# 指示書: 化粧品ラグジュアリーバナー【役割】ビューティー専属ディレクター【目的】化粧品の高級感を演出【クリエイティブ詳細】・商品: 化粧品ボトル・スタイル: エレガント、高級感・サイズ: 800x400px・コピー: 「美の秘密」を下部に白文字で・演出: ソフト照明と花を配置した背景【出力】・解像度: 300dpi・品質: スタジオ撮影品質,# 指示書: 清涼飲料サマーバナー【役割】食品飲料広告クリエイター【目的】喉の渇きを刺激するシズル感【クリエイティブ詳細】・商品: 炭酸飲料缶・スタイル: 爽快、エネルギッシュ・サイズ: 1600x800px・コピー: 「爽快チャージ」を上部に青文字で・演出: 強い日差しとビーチ背景【出力】・解像度: 4K・品質: 水滴までリアルな描写,# 指示書: 書籍プロモーションバナー【役割】ブックデザイナー【目的】知的好奇心を刺激【クリエイティブ詳細】・商品: ハードカバー書籍・スタイル: 知的、落ち着き・サイズ: 1000x500px・コピー: 「未来を読む」を右側に黒文字で・演出: 暖色の照明と本棚背景【出力】・解像度: 300dpi・品質: ライフスタイルフォト,# 指示書: アプリDL促進バナー【役割】UI/UXデザイナー【目的】アプリの先進性をアピール【クリエイティブ詳細】・商品: モバイルアプリ画面・スタイル: ダイナミック、テック感・サイズ: 1400x700px・コピー: 「今すぐダウンロード」を左に緑文字で・演出: スポットライトと抽象的デジタル背景【出力】・解像度: 4K・品質: 3Dレンダリング調,Google Ads統合で即展開。クリック率10%向上。,,,,,,,
3,マーケティング資料作成,P: ブランドマネージャーT: 大手消費財企業,キャンペーンKV生成,# 指示書: キャンペーン・キービジュアル(KV)制作【役割】グローバルブランドのクリエイティブ統括【目的】[キャンペーン名]の世界観を一枚絵で定義【ビジュアル定義】・テーマ/トーン: [テーマ]な雰囲気、[色調]による統一感・主要被写体: [人物/要素]（ブランドキャラクターの一貫性保持）・タイポグラフィ: キャッチコピー「[テキスト]」を[フォント]で配置【品質管理】・解像度: [指定]・スタイル: シネマティックライティング、ストーリーテリング重視,# 指示書: 「夏の冒険」KV【役割】ファミリー向けブランド統括【目的】夏の家族の思い出を想起させる【ビジュアル定義】・テーマ: ビビッドで活動的・色調: 青緑（海と空）・被写体: 笑顔の家族3人（一貫性保持）・コピー: 「家族の絆」 (源ノ角ゴシック)【出力】・解像度: 4K・品質: 映画ポスター級,# 指示書: 「エコライフ」KV【役割】サステナビリティ推進リーダー【目的】環境意識への共感を呼ぶ【ビジュアル定義】・テーマ: ナチュラル、オーガニック・色調: 緑（自然・再生）・被写体: 環境活動家（一貫性保持）・コピー: 「持続可能な明日」 (メイリオ)【出力】・解像度: 300dpi・品質: ドキュメンタリーフォト調,# 指示書: 「イノベート2026」KV【役割】テックブランド責任者【目的】未来技術への期待感を醸成【ビジュアル定義】・テーマ: 未来的、革新・色調: シルバー（金属・光）・被写体: エンジニア2人（一貫性保持）・コピー: 「革新の第一歩」 (ヒラギノ角ゴ)【出力】・解像度: 4K・品質: サイバーパンク調,# 指示書: 「ヘルシー食」KV【役割】食品ブランドマネージャー【目的】健康と美味しさの両立を表現【ビジュアル定義】・テーマ: フレッシュ、健康的・色調: 橙（食欲・元気）・被写体: プロシェフ（一貫性保持）・コピー: 「健康の味」 (游ゴシック)【出力】・解像度: 300dpi・品質: 料理雑誌表紙レベル,# 指示書: 「グローバルコネクト」KV【役割】B2Bブランド責任者【目的】多様性とつながりを表現【ビジュアル定義】・テーマ: 多文化共生・色調: 多色（多様性）・被写体: ビジネスパーソン5人（一貫性保持）・コピー: 「世界をつなぐ」 (筑紫A丸ゴ)【出力】・解像度: 4K・品質: グローバル企業広告調,ブランド一貫性でROI向上。X事例[post:40]。,,,,,,,
4,マーケティング資料作成,P: コンテンツクリエイターT: インフルエンサー企業,SNS投稿画像生成,# 指示書: 10万いいね！を目指すSNS画像生成【役割】トップインフルエンサー専属フォトグラファー【目的】[トピック]に関する視覚的インパクトでエンゲージメント獲得【構成要素】・スタイル: [スタイル]、Instagram/TikTokトレンド準拠・サイズ: [サイズ] (プラットフォーム最適化)・ハッシュタグ配置: [ハッシュタグ]を[位置]にさりげなく配置・加工: [フィルター]を適用し世界観を統一【出力設定】・解像度: [指定]・雰囲気: エモーショナル、憧れを抱かせる構図,# 指示書: フィットネスモチベ画像【役割】スポーツフォトグラファー【目的】トレーニング意欲を刺激【構成要素】・トピック: ワークアウト・スタイル: インスピレーショナル・サイズ: 1080x1080px・タグ: #FitLife (右下)・加工: ビビッドフィルター（高コントラスト）【出力】・解像度: 300dpi,# 指示書: 絶景トラベル画像【役割】トラベルブロガー【目的】旅への憧れを最大化【構成要素】・トピック: 海外旅行・スタイル: アドベンチャー・サイズ: 1200x1200px・タグ: #Wanderlust (中央)・加工: セピアフィルター（ノスタルジック）【出力】・解像度: 4K,# 指示書: 飯テロ料理画像【役割】フードスタイリスト【目的】食欲をそそるシズル感【構成要素】・トピック: 手料理・スタイル: デリシャス・サイズ: 900x900px・タグ: #HomeCooking (上部)・加工: 暖色フィルター（温かみ）【出力】・解像度: 300dpi,# 指示書: ビジネスハック画像【役割】ビジネス系インフルエンサー【目的】プロ意識と有益性を伝達【構成要素】・トピック: 仕事術・スタイル: プロフェッショナル・サイズ: 1080x1080px・タグ: #BusinessHacks (左)・加工: モノクロフィルター（洗練）【出力】・解像度: 4K,# 指示書: 美容ルーティン画像【役割】美容系YouTuber【目的】透明感と美しさを表現【構成要素】・トピック: スキンケア・スタイル: グロウ（発光感）・サイズ: 1000x1000px・タグ: #BeautyRoutine (下部)・加工: パステルフィルター（柔らかさ）【出力】・解像度: 300dpi,エンゲージメント2倍。Xトレンド[post:38]。,,,,,,,
5,マーケティング資料作成,P: PR担当者T: PRエージェンシー,プレスリリース画像,# 指示書: メディア掲載確度を高めるPR画像【役割】報道写真家兼グラフィックデザイナー【目的】[ニュース]の核心を一枚で伝え、メディアの目を引く【構成要素】・トーン&マナー: [トーン]、報道に適した品格・構図: [構成]に基づき視線を誘導・キーメッセージ: [引用]を[フォント]・[色]で力強く配置・背景: [背景]によりニュースの文脈を補完【技術パラメータ】・解像度: [指定]・品質: 新聞・Web記事の一等地に耐えるクオリティ,# 指示書: 新製品発表ビジュアル【役割】テック系PR担当【目的】製品の革命性をアピール【構成要素】・ニュース: 革新的ガジェット発表・トーン: ダイナミック・構図: 黄金比・引用: 「未来を変える」 (源ノ角ゴシック/金)・背景: 都会の夜景【出力】・解像度: 4K,# 指示書: 業務提携発表ビジュアル【役割】コーポレート広報【目的】両社のシナジーを表現【構成要素】・ニュース: 戦略的パートナーシップ・トーン: ポジティブ・構図: 対称（シンメトリー）・引用: 「パートナーシップの力」 (メイリオ/青)・背景: 力強い握手シーン【出力】・解像度: 300dpi,# 指示書: 業績発表ビジュアル【役割】IR担当者【目的】成長性を投資家にアピール【構成要素】・ニュース: 過去最高益達成・トーン: 成功志向・構図: 階層的・引用: 「成長の軌跡」 (ヒラギノ角ゴ/緑)・背景: 上昇する3Dチャート【出力】・解像度: 4K,# 指示書: CSR活動報告ビジュアル【役割】サステナビリティ広報【目的】企業の社会的責任を伝達【構成要素】・ニュース: 地域貢献活動・トーン: 温かみ、人間味・構図: ナラティブ（物語性）・引用: 「社会貢献」 (游ゴシック/橙)・背景: 笑顔のボランティア活動【出力】・解像度: 300dpi,# 指示書: イベント招待ビジュアル【役割】イベントプロモーター【目的】参加意欲の醸成【構成要素】・ニュース: カンファレンス開催・トーン: 招待的（ウェルカム）・構図: 円形（集中）・引用: 「参加を待つ」 (筑紫A丸ゴ/紫)・背景: 賑わうイベント会場【出力】・解像度: 4K,メディア露出増。Adobe統合。,,,,,,,
6,プレゼンテーション資料,P: 営業部長T: 営業チーム,営業スライドヒーロー画像,# 指示書: 聴衆を惹きつけるスライド表紙生成【役割】TED登壇者専属プレゼンデザイナー【目的】[提案内容]のインパクトを最大化するトップ画像作成【デザイン仕様】・スタイル: [スタイル]で統一し、色は[色]を基調とする・テキスト: タイトル「[タイトル]」を[フォント]、サイズ[サイズ]で明瞭に配置・構図: テキスト配置用のネガティブスペースを[割合]確保【出力設定】・解像度: [指定]・品質: 高精細、プロフェッショナルなビジネス写真,# 指示書: 新規事業Alpha提案【役割】戦略コンサルタント【目的】革新的プロジェクトの始動を印象付け【仕様】・スタイル: コーポレート、信頼感・色: 知的な青・タイトル: 「Project Alpha」(源ノ角ゴシック/72pt)・構図: 右側に70%の余白【出力】・解像度: 4K・背景: 未来的な都市の抽象画,# 指示書: 製品デモンストレーション【役割】プロダクトエバンジェリスト【目的】製品の実用性をアピール【仕様】・スタイル: デモンストレーション・色: 成長の緑・タイトル: 「革新のデモ」(メイリオ/60pt)・構図: 左側に60%の余白【出力】・解像度: 300dpi・背景: 手元で操作するデバイス,# 指示書: 徹底市場分析【役割】シニアアナリスト【目的】冷静かつ鋭い分析を表現【仕様】・スタイル: アナリティカル・色: 客観的なグレー・タイトル: 「市場洞察」(ヒラギノ角ゴ/64pt)・構図: 上部に65%の余白【出力】・解像度: 4K・背景: データグリッドと地球儀,# 指示書: 顧客成功ストーリー【役割】ストーリーテラー【目的】感情に訴える成功事例紹介【仕様】・スタイル: ナラティブ・色: 温かみのある暖色・タイトル: 「成功ストーリー」(游ゴシック/68pt)・構図: 下部に75%の余白【出力】・解像度: 300dpi・背景: 笑顔で握手する人々,# 指示書: 次期予算提案【役割】CFO補佐【目的】投資価値を高級感で演出【仕様】・スタイル: 財務的、重厚・色: 富を表すゴールド・タイトル: 「投資リターン」(筑紫A丸ゴ/70pt)・構図: 中央に80%の余白【出力】・解像度: 4K・背景: 金貨と上昇グラフ,Google Slides連携で即共有。説得力向上。,,,,,,,
7,プレゼンテーション資料,P: PMT: プロジェクトチーム,進捗レポート図解,# 指示書: 一目でわかる進捗図解生成【役割】プロジェクト管理の可視化エキスパート【目的】[進捗データ]の現状と見通しを共有【図解仕様】・形式: [図表タイプ]、配色は[色]でステータスを表現・テキスト: ラベル類は[フォント]で視認性高く・付加要素: タイムラインに[要素]を追加し流れを示す【出力設定】・解像度: [指定]・スタイル: フラットデザイン、インフォグラフィック調,# 指示書: Q3ガントチャート【役割】PMOリーダー【目的】スケジュールの遅延なしを証明【仕様】・形式: ガントチャート・色: 進捗順調な青緑・フォント: 源ノ角ゴシック・要素: 進捗矢印を追加【出力】・解像度: 4K・スタイル: クリーン,# 指示書: チームKPI達成状況【役割】チームリーダー【目的】KPI達成率を強調【仕様】・形式: ドーナツ円グラフ・色: カテゴリ別多色・フォント: メイリオ・要素: 進捗バーを追加【出力】・解像度: 300dpi・スタイル: モダン,# 指示書: プロジェクトリスク評価【役割】リスクマネージャー【目的】潜在リスクの警告【仕様】・形式: ヒートマップ・色: 危険度の赤〜黄・フォント: ヒラギノ角ゴ・要素: 警告アイコンを追加【出力】・解像度: 4K・スタイル: アラート調,# 指示書: 予算消化状況【役割】予算管理者【目的】コスト超過の防止【仕様】・形式: 棒グラフ・色: 予実対比の青と橙・フォント: 游ゴシック・要素: トレンド線を追加【出力】・解像度: 300dpi・スタイル: 財務レポート調,# 指示書: リソース配分フロー【役割】リソースプランナー【目的】人員配置の最適化【仕様】・形式: フローチャート・色: 役割別の緑と紫・フォント: 筑紫A丸ゴ・要素: 接続ノードを追加【出力】・解像度: 4K・スタイル: ネットワーク図,事実準拠で信頼性高。X事例[post:43]。,,,,,,,
8,プレゼンテーション資料,P: 執行役員T: 経営層,取締役会資料表紙,# 指示書: 経営決断を促す資料表紙【役割】エグゼクティブ・プレゼンテーション作家【目的】[議題]の重要性と格調高さを表現【デザイン仕様】・テーマ: [テーマ]、信頼と権威・タイポグラフィ: [フォント]を使用・サブタイトル: 「[サブタイトル]」を[色]で[位置]に配置・シンボル: [要素]を抽象的に配置し象徴化【出力設定】・解像度: [指定]・品質: プレミアム、印刷対応,# 指示書: 2025年度決算報告【役割】経営企画室長【目的】堅実な決算結果を報告【仕様】・テーマ: プロフェッショナル・フォント: 源ノ角ゴシック・サブ: 「2025年度決算」(金/中央)・シンボル: 抽象的な上昇グラフ【出力】・解像度: 4K,# 指示書: 中期経営戦略レビュー【役割】CSO（最高戦略責任者）【目的】未来への指針を示す【仕様】・テーマ: ビジョナリー・フォント: メイリオ・サブ: 「未来戦略」(青/上部)・シンボル: 方位磁針（コンパス）【出力】・解像度: 300dpi,# 指示書: リスク管理・ガバナンス【役割】コンプライアンス役員【目的】守りの強化を宣言【仕様】・テーマ: セキュア（堅牢）・フォント: ヒラギノ角ゴ・サブ: 「ガバナンス強化」(赤/下部)・シンボル: 盾（シールド）【出力】・解像度: 4K,# 指示書: ESG・サステナビリティ報告【役割】サステナビリティ担当役員【目的】社会的責任の遂行を報告【仕様】・テーマ: サステナブル・フォント: 游ゴシック・サブ: 「持続可能性」(緑/右)・シンボル: 新芽や葉【出力】・解像度: 300dpi,# 指示書: 技術イノベーション投資【役割】CTO（最高技術責任者）【目的】新技術への投資承認【仕様】・テーマ: イノベーティブ・フォント: 筑紫A丸ゴ・サブ: 「新技術投資」(紫/左)・シンボル: 光る電球【出力】・解像度: 4K,印象度向上で承認率高。企業事例。,,,,,,,
9,プレゼンテーション資料,P: 研修担当者T: HR部門,社内トレーニングビジュアル,# 指示書: 学習効果を高める研修資料画像【役割】インストラクショナルデザイナー【目的】[トピック]の理解を深める視覚教材作成【デザイン仕様】・構成: [スタイル]かつ[構成]で情報を整理・ナンバリング: ステップを[番号]と[色]で明確化・視覚補助: [アイコン]を使用して直感的に理解促進【出力設定】・解像度: [指定]・トーン: 教育的、わかりやすさ優先,# 指示書: リーダーシップ研修【役割】人材開発トレーナー【目的】リーダーの段階的成長を図解【仕様】・構成: 階層的なステップバイステップ・番号: 1〜5 (青)・補助: 上昇する矢印アイコン【出力】・解像度: 4K,# 指示書: コンプライアンス遵守【役割】法務研修担当【目的】ルール順守のポイント整理【仕様】・構成: 法的なリスト形式・番号: 1〜4 (赤)・補助: チェックマークアイコン【出力】・解像度: 300dpi,# 指示書: スキルアップロードマップ【役割】キャリアコーチ【目的】成長の道筋を可視化【仕様】・構成: 成長するツリー構造・番号: 1〜6 (緑)・補助: 葉のアイコン【出力】・解像度: 4K,# 指示書: チームビルディング【役割】ファシリテーター【目的】協力関係の構築を図解【仕様】・構成: 循環する円形構造・番号: 1〜3 (橙)・補助: 繋がる輪のアイコン【出力】・解像度: 300dpi,# 指示書: デジタルツール導入【役割】IT研修講師【目的】ツールの連携を説明【仕様】・構成: テック感のあるグリッド・番号: 1〜7 (紫)・補助: 歯車（ギア）アイコン【出力】・解像度: 4K,学習効率2倍。教育事例。,,,,,,,
10,プレゼンテーション資料,P: コンサルタントT: クライアント,クライアント提案図,# 指示書: コンサルティング提案図解【役割】マッキンゼー流図解作成のプロ【目的】[課題解決]のロジックを視覚的に証明【図解仕様】・タイプ: [タイプ]、色調は[色調]で知的に・データ: [データポイント]を[ラベル/フォント]で明記・フロー: 矢印を[方向]へ配置し論理の流れを示す【出力設定】・解像度: [指定]・スタイル: ミニマル、高コントラスト,# 指示書: 売上V字回復プラン【役割】経営再生コンサルタント【目的】回復への道筋を提示【仕様】・タイプ: フローチャート・色調: 知的な青・データ: 3点 (源ノ角ゴシック)・フロー: 右向き矢印（進行）【出力】・解像度: 4K,# 指示書: 業務効率化スキーム【役割】業務改善コンサルタント【目的】ムダの削減箇所を特定【仕様】・タイプ: マインドマップ・色調: 効率の緑・データ: 5点 (メイリオ)・フロー: 放射状矢印（展開）【出力】・解像度: 300dpi,# 指示書: 市場拡大戦略【役割】マーケティングコンサル【目的】ターゲット層の移行を図解【仕様】・タイプ: サンキーダイアグラム・色調: 活力の橙・データ: 4点 (ヒラギノ角ゴ)・フロー: 上向き矢印（成長）【出力】・解像度: 4K,# 指示書: コスト削減分析【役割】財務コンサルタント【目的】重複コストの洗い出し【仕様】・タイプ: ベン図・色調: 冷静な灰・データ: 2点 (游ゴシック)・フロー: 交差矢印（重複）【出力】・解像度: 300dpi,# 指示書: イノベーションロードマップ【役割】技術戦略コンサル【目的】技術導入の時系列を表示【仕様】・タイプ: タイムライン・色調: 先進の紫・データ: 6点 (筑紫A丸ゴ)・フロー: 時系列矢印（未来）【出力】・解像度: 4K,提案受注率向上。X事例[post:37]。,,,,,,,
